Category: All categories

Month,Big Data: (Worldwide),Artificial Intelligence: (Worldwide),Machine Learning: (Worldwide)
2012-05,29,14,1
2012-06,22,11,4
2012-07,36,4,1
2012-08,24,9,0
2012-09,27,6,1
2012-10,22,10,1
2012-11,28,49,1
2012-12,28,7,4
2013-01,34,14,2
2013-02,32,10,5
2013-03,42,11,1
2013-04,36,9,1
2013-05,35,10,4
2013-06,39,6,4
2013-07,38,8,3
2013-08,34,9,3
2013-09,34,8,2
2013-10,34,13,3
2013-11,36,10,3
2013-12,34,13,1
2014-01,43,7,1
2014-02,37,11,3
2014-03,37,12,3
2014-04,31,9,2
2014-05,39,11,3
2014-06,29,11,1
2014-07,31,16,2
2014-08,38,14,1
2014-09,41,8,4
2014-10,31,18,2
2014-11,33,19,3
2014-12,30,23,4
2015-01,33,39,5
2015-02,44,53,6
2015-03,40,19,7
2015-04,44,25,6
2015-05,34,52,5
2015-06,49,37,7
2015-07,48,57,4
2015-08,38,26,8
2015-09,37,28,10
2015-10,42,27,8
2015-11,44,26,7
2015-12,37,36,7
2016-01,34,50,12
2016-02,69,62,13
2016-03,81,49,15
2016-04,46,57,16
2016-05,41,43,13
2016-06,48,55,18
2016-07,100,40,29
2016-08,61,53,27
2016-09,62,86,29
2016-10,66,65,27
2016-11,67,67,32
2016-12,56,70,44
2017-01,54,74,24
2017-02,48,91,52
2017-03,46,66,23
2017-04,43,57,30
2017-05,36,56,23
2017-06,35,50,28
2017-07,31,74,21
2017-08,32,71,22
2017-09,28,64,23
2017-10,35,72,29
2017-11,37,85,34
2017-12,32,74,22
2018-01,33,75,33
2018-02,35,82,26
2018-03,35,59,37
