Category: All categories

Month,Big Data: (Worldwide),Artificial Intelligence: (Worldwide),Machine Learning: (Worldwide)
2012-05,21,20,13
2012-06,20,19,12
2012-07,21,19,12
2012-08,22,18,12
2012-09,26,22,14
2012-10,30,23,15
2012-11,31,21,14
2012-12,27,19,13
2013-01,34,19,13
2013-02,37,22,13
2013-03,42,21,14
2013-04,44,21,15
2013-05,44,20,15
2013-06,44,19,14
2013-07,43,16,13
2013-08,42,17,13
2013-09,48,20,15
2013-10,53,20,18
2013-11,51,21,17
2013-12,44,20,16
2014-01,54,21,17
2014-02,58,23,19
2014-03,61,21,19
2014-04,59,22,19
2014-05,60,22,18
2014-06,58,18,17
2014-07,62,18,19
2014-08,60,21,19
2014-09,68,21,21
2014-10,70,22,22
2014-11,69,25,23
2014-12,60,26,21
2015-01,66,25,23
2015-02,72,27,25
2015-03,74,26,25
2015-04,72,25,28
2015-05,67,29,26
2015-06,67,25,27
2015-07,65,27,27
2015-08,62,25,26
2015-09,71,27,30
2015-10,71,27,31
2015-11,70,30,36
2015-12,62,28,33
2016-01,64,32,33
2016-02,76,29,36
2016-03,73,33,39
2016-04,71,31,38
2016-05,71,31,40
2016-06,71,29,41
2016-07,62,24,37
2016-08,61,25,40
2016-09,72,30,47
2016-10,71,36,51
2016-11,77,38,54
2016-12,65,36,54
2017-01,71,37,60
2017-02,80,40,66
2017-03,80,43,71
2017-04,76,43,69
2017-05,73,45,75
2017-06,69,38,76
2017-07,65,41,73
2017-08,66,49,76
2017-09,74,55,83
2017-10,79,58,89
2017-11,80,63,92
2017-12,63,55,85
2018-01,68,69,90
2018-02,73,64,93
2018-03,77,63,100
